Localidad,Latitud,Longitud,Region,Provincia,Comuna,Superficie
Aduana El Loa,-22.9105609,-68.1997157,Antofagasta,El Loa,San Pedro de Atacama,23612.8
Algarrobo,-33.369172,-71.6680533,Valparaíso,San Antonio,Algarrobo,176.17
Alhué,-34.0370862,-71.0844986,Metropolitana de Santiago,Melipilla,Alhué,844.33
Alto del Carmen,-28.7596711,-70.4861108,Atacama,Huasco,Alto del Carmen,6159.29
Alto Hospicio,-20.2700478,-70.1009162,Tarapacá,Iquique,Alto Hospicio,571.48
Ancud,-41.8682162,-73.8287225,Los Lagos,Chiloé,Ancud,1755.53
Andacollo,-30.2322048,-71.0847556,Coquimbo,Elqui,Andacollo,514.25
Angol,-37.798787,-72.7086097,La Araucanía,Malleco,Angol,1197.16
Antofagasta,-23.6463741,-70.3980033,Antofagasta,Antofagasta,Antofagasta,30702.19
Antuco,-37.3299761,-71.6791766,Biobío,Biobío,Antuco,1957.24
Arauco,-37.246248,-73.3176399,Biobío,Arauco,Arauco,959.9
Arica,-18.4785288,-70.3211394,Arica y Parinacota,Arica,Arica,4802.22
Bahía Mansa,-40.5843291,-73.7307971,Los Lagos,Osorno,San Juan de la Costa,1506.66
Baquedano,-45.5711804,-72.0684863,Aysén del General Carlos Ibáñez del Campo,Coihaique,Coihaique,7277.05
Boyeruca,-34.6884508,-72.0502723,Maule,Curicó,Vichuquén,451.51
Bucalemu,-32.8101633,-70.6851339,Valparaíso,San Felipe de Aconcagua,San Felipe,187.26
Buin,-33.7319741,-70.7419619,Metropolitana de Santiago,Maipo,Buin,217.06
Bulnes,-36.7422507,-72.2987216,Ñuble,Diguillín,Bulnes,426.12
Cabildo,-32.4265909,-71.0663299,Valparaíso,Petorca,Cabildo,1455.1
Cabrero,-37.0358293,-72.4026797,Biobío,Biobío,Cabrero,656.67
Calama,-22.4623917,-68.9272181,Antofagasta,El Loa,Calama,15544.66
Calbuco,-41.7712143,-73.1275379,Los Lagos,Llanquihue,Calbuco,587.53
